Number,Occurrences,Probabilities
1,1038,0.1038
2,975,0.0975
3,1019,0.1019
4,984,0.0984
5,1054,0.1054
6,1027,0.1027
7,1015,0.1015
8,1007,0.1007
9,1078,0.1078
10,1044,0.1044
11,963,0.0963
12,993,0.0993
13,1041,0.1041
14,1022,0.1022
15,1006,0.1006
16,983,0.0983
17,984,0.0984
18,977,0.0977
19,1060,0.106
20,1050,0.105
21,945,0.0945
22,1014,0.1014
23,1029,0.1029
24,1077,0.1077
25,1005,0.1005
26,1035,0.1035
27,1093,0.1093
28,1020,0.102
29,1020,0.102
30,996,0.0996
31,1024,0.1024
32,1023,0.1023
33,1044,0.1044
34,1054,0.1054
35,1001,0.1001
36,1006,0.1006
37,1049,0.1049
38,1021,0.1021
39,1033,0.1033
40,1008,0.1008
41,1034,0.1034
42,1010,0.101
43,1008,0.1008
44,970,0.097
45,1018,0.1018
46,1059,0.1059
47,993,0.0993
48,1041,0.1041
49,1050,0.105
